Linux 4.2.8-300.fc23.x86_64 (localhost.localdomain) 	19/12/16 	_x86_64_	(2 CPU)

15:09:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:09:09       0   63.64    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   31.31
15:09:10       0   59.60    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   32.32
15:09:11       0   48.48    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   46.46
15:09:12       0   35.71    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   61.22
15:09:13       0   53.61    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   40.21
15:09:14       0   67.33    0.00    7.92    0.00    0.00    0.99    0.00    0.00    0.00   23.76
15:09:15       0   62.11    0.00    4.21    0.00    0.00    0.00    0.00    0.00    0.00   33.68
15:09:16       0   67.71    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   23.96
15:09:17       0   66.67    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   26.04
15:09:18       0   60.20    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   32.65
Average:       0   58.49    0.00    6.24    0.00    0.00    0.10    0.00    0.00    0.00   35.17
