C0         N          IDLE      
43         1          82.10     
66         2          60.78     
103        3          55.86     
132        4          45.91     
140        5          32.86     
146        6          22.92     
160        7          21.64     
171        8          17.17     
153        9          14.07     
160        10         15.65     
164        11         11.78     
174        12         17.78     
192        13         25.53     
227        14         41.24     
237        15         48.95     
252        16         52.65     
236        17         52.78     
246        18         47.17     
246        19         41.63     
241        20         39.69     
247        21         13.05     
258        22         10.09     
199        23         9.51      
230        24         7.11      
193        25         9.65      
228        26         10.61     
258        27         14.78     
266        28         19.75     
262        29         24.49     
254        30         26.76     
244        31         27.81     
253        32         33.50     
225        33         32.06     
186        34         38.78     
208        35         47.53     
197        36         32.09     
209        37         34.02     
214        38         33.37     
235        39         32.78     
243        40         32.96     
201        41         23.97     
174        42         27.14     
207        43         33.16     
203        44         34.91     
189        45         31.01     
210        46         37.76     
249        47         32.03     
203        48         32.85     
222        49         36.17     
251        50         35.17     
